"Year","Surge"
1922,0.889935598187768
1923,1.05435846828719
1924,0.904378630933755
1925,0.771912213256299
1926,0.831785173806149
1927,0.983049417798236
1928,0.764593593854358
1929,0.884751456092338
1930,0.726832304797658
1931,0.90947874798009
1932,1.00473361825802
1933,0.921987026835796
1934,0.740414363624212
1935,1.16165694173359
1936,0.939682253176124
1937,0.587213987829971
1938,0.631143724169521
1939,0.866001866437467
1940,1.13335652943279
1941,0.715762027113727
1942,0.658792227570016
1943,0.683135867088576
1944,0.862864093744812
1946,0.694432730675278
1947,1.1264742796313
1948,0.717414539838929
1949,0.778062251268963
1950,1.03470371143863
1951,0.584898829594689
1952,0.941934601169388
1953,0.863719441275891
1954,1.09635897967991
1955,0.557367491545847
1956,0.937590696851179
1957,0.643059181276251
1958,0.879701250012185
1959,0.831900679626389
1960,1.03981402558955
1961,1.22733986673019
1962,1.04512889471349
1963,0.682873186742894
1964,0.759503792798991
1965,0.884047227192263
1966,0.99811311027017
1967,0.67563958928881
1968,1.08807766014058
1969,0.991571688584645
1970,0.764669579330326
1971,0.738949440648105
1972,1.14314153277361
1973,0.843630980336707
1974,0.69702131174238
1975,0.761948035847136
1976,0.7733355018386
1977,1.04576207975176
1978,1.33363689215778
1979,1.11565237217304
1980,0.938495910979929
1981,0.576997854180923
1982,0.778493062543677
1983,0.655883377164732
1984,1.18967471663964
1985,0.709349135421722
1986,0.841996822668991
1987,0.989128652932324
1988,0.726146126403753
1989,0.480537820394442
1990,0.57363887234373
1991,1.37763995182145
1992,0.950546967436869
1993,1.130280142893
1994,0.908176365324685
1995,0.9161708815251
1996,0.742391168629192
1997,0.895541651724256
1998,0.685305914118854
1999,0.664795815365005
2000,0.640989068840556
2001,0.861924053457384
2002,0.866255909915016
2003,0.931419540541813
2004,0.780359615681686
2005,0.982925607439683
2006,0.71385969449867
2007,0.799715511995183
2008,0.597123943171669
2009,0.698284901434378
2010,1.72224874752374
2011,0.757934926765508
2012,1.22023406681709
2013,1.07839260737646
2014,0.862807623900831
2015,1.30167731866913
2016,0.670905121129391
2017,0.930023927294
2018,1.04372878123916
2019,1.07543874581496
2020,0.713936714129785
2021,0.890185951382922
